句子,情感預測,主題預測,AI_Sentiment,AI_Topic,人類答案,人類分類
這部電影劇情很精彩,正面,娛樂,正面,娛樂,正面,娛樂
這家餐廳服務很好,正面,美食,正面,美食,正面,美食
今天比賽內容很糟糕,負面,運動,負面,運動,負面,運動
這款手機手感很棒,正面,其他,正面,科技,正面,科技
這間旅館清潔狀況很差,負面,其他,負面,旅遊,負面,旅遊
這個遊戲音樂很精彩,正面,娛樂,正面,娛樂,正面,娛樂
這杯飲料味道很糟,負面,其他,負面,美食,負面,美食
這台電腦效能很好,正面,科技,正面,科技,正面,科技
這台洗衣機品質很差勁,負面,其他,負面,科技,負面,科技
這支耳機音質很棒,正面,其他,正面,科技,正面,科技
這款電腦外型設計很好看,正面,科技,正面,科技,正面,科技
這個AI系統穩定性很爛,負面,科技,負面,科技,負面,科技
這場技術發表會氣氛讓人很開心,正面,科技,正面,科技,正面,科技
這家公司的軟體開發技術很差,負面,科技,負面,科技,負面,科技
這份AI相關工作內容很值得投入,正面,科技,正面,科技,正面,科技
這個深度學習專案結果讓人很失望,負面,科技,負面,科技,負面,科技
這個程式開發團隊合作默契很好,正面,科技,正面,科技,正面,科技
這支演算法在防禦測試中的表現很爛,負面,科技,負面,科技,負面,科技
這本介紹人工智慧的書寫得很精彩,正面,科技,正面,科技,正面,科技
這本電腦技術書的排版設計很糟糕,負面,科技,負面,科技,負面,科技
這個網站介面設計得很好,正面,其他,正面,科技,正面,科技
這個網站速度很慢讓人很無聊,負面,其他,負面,科技,負面,科技
這家銀行客服態度很好,正面,其他,正面,旅遊,正面,旅遊
這家銀行櫃檯效率很差,負面,其他,負面,旅遊,負面,旅遊
這家旅館早餐很棒,正面,其他,正面,旅遊,正面,旅遊
這家旅館隔音效果很糟,負面,其他,負面,旅遊,負面,旅遊
這個電影預告看起來很精彩,正面,娛樂,正面,娛樂,正面,娛樂
這個遊戲的新手教學很差,負面,娛樂,負面,娛樂,負面,娛樂
這支手機相機表現很優秀,正面,科技,正面,科技,正面,科技
這支手機螢幕品質很差勁,負面,其他,負面,科技,負面,科技
這場演唱會氣氛讓人很開心,正面,其他,正面,娛樂,正面,娛樂
這場演唱會音響效果很糟糕,負面,其他,負面,娛樂,負面,娛樂
這部影集角色塑造很棒,正面,其他,正面,娛樂,正面,娛樂
這部影集節奏控制很差,負面,其他,負面,娛樂,負面,娛樂
這道甜點味道很完美,正面,其他,正面,美食,正面,美食
這道主菜調味很糟,負面,其他,負面,美食,負面,美食
這台相機對焦速度很好,正面,科技,正面,科技,正面,科技
這台相機電池續航很差,負面,科技,負面,科技,負面,科技
這個APP操作體驗很好,正面,其他,正面,科技,正面,科技
這個APP穩定度很糟,負面,其他,負面,科技,負面,科技
這個旅程安排很完善讓人很滿意,正面,其他,正面,旅遊,正面,旅遊
這個餐廳點餐資訊說明很差,負面,美食,負面,美食,負面,美食
這份技術簡報設計得很精彩,正面,科技,正面,科技,正面,科技
這份線上軟體簡報內容準備得很差,負面,科技,負面,科技,負面,科技
這杯茶香氣很好讓人很開心,正面,其他,正面,美食,正面,美食
這杯茶口感很差勁,負面,其他,負面,美食,負面,美食
這趟旅行回憶很完美,正面,旅遊,正面,旅遊,正面,旅遊
這趟旅行行程安排很差,負面,旅遊,負面,旅遊,負面,旅遊
這家健身房器材很完善，每台機器都維護得那麼仔細。我覺得使用起來不是這麼不安心,中性,運動,正面,運動,正面,運動
這家便利商店補貨速度很好，但也不是每一個時段都這麼充足。雖然不能說東西常常缺貨，我還是偶爾會買不到想要的東西。,正面,其他,中性,美食,負面,美食
這個健身教練講解很優秀，雖然不能說講解有多完美，我仍然覺得老師的說明相當清楚。,正面,運動,正面,運動,正面,運動
這個健身課程體驗很糟，雖然不能說完全沒優點，我還是很難真心推薦給別人。,中性,運動,負面,運動,負面,運動
這個樂團現場演出很精彩，但也不是每首歌都能帶動氣氛。雖然不能說整場都完美無缺，我還是覺得值回票價。,正面,其他,正面,娛樂,正面,娛樂
這個樂團錄音品質很差，但也不是樂團本身實力不好。雖然不能說完全聽不下去，我卻覺得專輯跟現場差太多。,負面,其他,負面,娛樂,負面,娛樂
這家旅遊社行程設計很棒，但也不是每個細節都安排得那麼周全。雖然不能說完全沒有問題，我還是對這趟旅程挺滿意。,正面,其他,正面,旅遊,正面,旅遊
這家旅遊社客服回覆很慢很差，但也不是完全聯絡不上。雖然不能說他們不負責任，我卻總覺得自己被晾在一旁。,負面,其他,負面,旅遊,負面,旅遊
這間飯店採光很好，但也不是所有房間都享受到同樣的陽光。雖然不能說環境有多完美，我還是覺得整體住起來很舒服。,正面,旅遊,正面,旅遊,正面,旅遊
這座城市夜景很漂亮讓人很開心，但也不是每天都能看到這麼迷人的風景。雖然不能說生活完全無憂無慮，我還是很喜歡待在這裡。,正面,其他,正面,旅遊,正面,旅遊
這個電子商務服務回應速度很好，但也不是每一次請求都這麼順利。雖然不能說毫無延遲，我整體還是覺得相當流暢。,正面,其他,正面,科技,中性,科技
